tool,backend,epsilon,eps_frac_of_medgap,attack_success_rate
attntrace,llama3.2-3b,0.009662488007359575,2.9,1.0
attntrace,llama3.2-3b,0.00982908262817612,2.95,1.0
attntrace,llama3.2-3b,0.009995677248992665,3.0,1.0
attntrace,qwen2.5-3b,0.0,0.0,0.06
attntrace,qwen2.5-3b,0.0003416819513150448,0.05,0.08666666666666667
attntrace,qwen2.5-3b,0.0006833639026300896,0.1,0.10666666666666667
attntrace,qwen2.5-3b,0.0010250458539451343,0.15,0.13333333333333333
attntrace,qwen2.5-3b,0.0013667278052601792,0.2,0.14666666666666667
attntrace,qwen2.5-3b,0.001708409756575224,0.25000000000000006,0.15333333333333332
attntrace,qwen2.5-3b,0.0020500917078902685,0.3,0.16
attntrace,qwen2.5-3b,0.0023917736592053134,0.35000000000000003,0.16666666666666666
attntrace,qwen2.5-3b,0.0027334556105203583,0.4,0.17333333333333334
attntrace,qwen2.5-3b,0.003075137561835403,0.45000000000000007,0.17333333333333334
attntrace,qwen2.5-3b,0.003416819513150448,0.5000000000000001,0.17333333333333334
attntrace,qwen2.5-3b,0.0037585014644654926,0.55,0.19333333333333333
attntrace,qwen2.5-3b,0.004100183415780537,0.6,0.19333333333333333
attntrace,qwen2.5-3b,0.004441865367095582,0.65,0.19333333333333333
attntrace,qwen2.5-3b,0.004783547318410627,0.7000000000000001,0.19333333333333333
attntrace,qwen2.5-3b,0.005125229269725672,0.75,0.19333333333333333
attntrace,qwen2.5-3b,0.005466911221040717,0.8,0.2
attntrace,qwen2.5-3b,0.0058085931723557615,0.8500000000000001,0.2
attntrace,qwen2.5-3b,0.006150275123670806,0.9000000000000001,0.2
attntrace,qwen2.5-3b,0.006491957074985851,0.9500000000000001,0.2
attntrace,qwen2.5-3b,0.006833639026300896,1.0000000000000002,0.2
attntrace,qwen2.5-3b,0.00717532097761594,1.05,0.2
attntrace,qwen2.5-3b,0.007517002928930985,1.1,0.2
attntrace,qwen2.5-3b,0.00785868488024603,1.1500000000000001,0.2
attntrace,qwen2.5-3b,0.008200366831561074,1.2,0.2
attntrace,qwen2.5-3b,0.00854204878287612,1.25,0.2
attntrace,qwen2.5-3b,0.008883730734191164,1.3,0.2
attntrace,qwen2.5-3b,0.00922541268550621,1.35,0.2
attntrace,qwen2.5-3b,0.009567094636821254,1.4000000000000001,0.2
attntrace,qwen2.5-3b,0.0099087765881363,1.4500000000000002,0.2
attntrace,qwen2.5-3b,0.010250458539451343,1.5,0.2
attntrace,qwen2.5-3b,0.01059214049076639,1.5500000000000003,0.2
attntrace,qwen2.5-3b,0.010933822442081433,1.6,0.21333333333333335
attntrace,qwen2.5-3b,0.011275504393396477,1.65,0.24666666666666667
attntrace,qwen2.5-3b,0.011617186344711523,1.7000000000000002,0.29333333333333333
attntrace,qwen2.5-3b,0.011958868296026567,1.75,0.38666666666666666
attntrace,qwen2.5-3b,0.012300550247341613,1.8000000000000003,0.44
attntrace,qwen2.5-3b,0.012642232198656657,1.85,0.5533333333333333
attntrace,qwen2.5-3b,0.012983914149971703,1.9000000000000001,0.62
attntrace,qwen2.5-3b,0.013325596101286747,1.9500000000000002,0.72
attntrace,qwen2.5-3b,0.013667278052601792,2.0000000000000004,0.7933333333333333
attntrace,qwen2.5-3b,0.014008960003916836,2.0500000000000003,0.8333333333333334
attntrace,qwen2.5-3b,0.01435064195523188,2.1,0.8933333333333333
attntrace,qwen2.5-3b,0.014692323906546926,2.1500000000000004,0.9333333333333333
attntrace,qwen2.5-3b,0.01503400585786197,2.2,0.9666666666666667
attntrace,qwen2.5-3b,0.015375687809177016,2.2500000000000004,0.9733333333333334
attntrace,qwen2.5-3b,0.01571736976049206,2.3000000000000003,0.9866666666666667
attntrace,qwen2.5-3b,0.016059051711807104,2.35,0.9933333333333333
attntrace,qwen2.5-3b,0.016400733663122148,2.4,0.9933333333333333
attntrace,qwen2.5-3b,0.016742415614437196,2.45,0.9933333333333333
attntrace,qwen2.5-3b,0.01708409756575224,2.5,1.0
attntrace,qwen2.5-3b,0.017425779517067284,2.5500000000000003,1.0
attntrace,qwen2.5-3b,0.017767461468382328,2.6,1.0
attntrace,qwen2.5-3b,0.018109143419697375,2.6500000000000004,1.0
attntrace,qwen2.5-3b,0.01845082537101242,2.7,1.0
attntrace,qwen2.5-3b,0.018792507322327463,2.75,1.0
attntrace,qwen2.5-3b,0.019134189273642507,2.8000000000000003,1.0
attntrace,qwen2.5-3b,0.01947587122495755,2.85,1.0
attntrace,qwen2.5-3b,0.0198175531762726,2.9000000000000004,1.0
attntrace,qwen2.5-3b,0.020159235127587643,2.95,1.0
attntrace,qwen2.5-3b,0.020500917078902687,3.0,1.0
ragorigin,llama3.2-3b,0.0,0.0,0.04
ragorigin,llama3.2-3b,0.06890534573912578,0.05,0.1
ragorigin,llama3.2-3b,0.13781069147825156,0.1,0.12
ragorigin,llama3.2-3b,0.20671603721737736,0.15000000000000002,0.14
ragorigin,llama3.2-3b,0.2756213829565031,0.2,0.18
ragorigin,llama3.2-3b,0.3445267286956289,0.25,0.18
ragorigin,llama3.2-3b,0.4134320744347547,0.30000000000000004,0.2
ragorigin,llama3.2-3b,0.4823374201738805,0.35000000000000003,0.2
ragorigin,llama3.2-3b,0.5512427659130062,0.4,0.2
ragorigin,llama3.2-3b,0.620148111652132,0.45,0.2
ragorigin,llama3.2-3b,0.6890534573912578,0.5,0.2
ragorigin,llama3.2-3b,0.7579588031303836,0.55,0.2
ragorigin,llama3.2-3b,0.8268641488695094,0.6000000000000001,0.2
ragorigin,llama3.2-3b,0.8957694946086352,0.65,0.2
ragorigin,llama3.2-3b,0.964674840347761,0.7000000000000001,0.2
ragorigin,llama3.2-3b,1.0335801860868867,0.75,0.2
ragorigin,llama3.2-3b,1.1024855318260125,0.8,0.2
ragorigin,llama3.2-3b,1.1713908775651383,0.85,0.2
ragorigin,llama3.2-3b,1.240296223304264,0.9,0.2
ragorigin,llama3.2-3b,1.3092015690433898,0.95,0.2
ragorigin,llama3.2-3b,1.3781069147825156,1.0,0.2
ragorigin,llama3.2-3b,1.4470122605216413,1.05,0.2
ragorigin,llama3.2-3b,1.515917606260767,1.1,0.2
ragorigin,llama3.2-3b,1.5848229519998929,1.15,0.2
ragorigin,llama3.2-3b,1.6537282977390189,1.2000000000000002,0.2
ragorigin,llama3.2-3b,1.7226336434781446,1.2500000000000002,0.2
ragorigin,llama3.2-3b,1.7915389892172704,1.3,0.24
