case_id,backend,status,gap_orig,modeA_pred_success,queries_used,final_top1_is_culprit,final_gap,modeB_success,forced_top1_variance,q_var,vcsa_catches
qmsum_0110,qwen2.5-3b,done,0.006710827139277871,False,11,True,0.004707,False,1.1365246876948731e-07,1.2440003729352611e-06,
narrativeqa_0105,qwen2.5-3b,done,0.0067318598895023275,False,10,True,0.006464,False,2.09678046303452e-06,1.2440003729352611e-06,
qmsum_0023,qwen2.5-3b,done,0.006757244440571715,False,11,True,0.005538,False,5.777329192824254e-08,1.2440003729352611e-06,
musique_0018,qwen2.5-3b,done,0.006807130480569507,False,18,False,0.003534,False,5.262230615699082e-07,1.2440003729352611e-06,
musique_0063,qwen2.5-3b,done,0.006843447685241699,False,1,False,0.006605,True,2.3547532634893287e-07,1.2440003729352611e-06,False
narrativeqa_0021,qwen2.5-3b,done,0.006856398168508406,False,11,True,0.005668,False,1.2182091495560599e-06,1.2440003729352611e-06,
musique_0059,qwen2.5-3b,done,0.0069054334591596555,False,11,True,0.005698,False,8.010770358168884e-08,1.2440003729352611e-06,
qmsum_0075,qwen2.5-3b,done,0.006937332234034936,False,11,True,0.00424,False,4.933567083753587e-07,1.2440003729352611e-06,
qmsum_0088,qwen2.5-3b,done,0.006965106571177867,False,11,True,0.003305,False,1.0745585541371838e-06,1.2440003729352611e-06,
narrativeqa_0010,qwen2.5-3b,done,0.007011467990066324,False,11,True,0.00583,False,9.503380624664715e-07,1.2440003729352611e-06,
qmsum_0073,qwen2.5-3b,done,0.007029571554933986,False,12,False,0.004588,False,7.244846642606717e-07,1.2440003729352611e-06,
musique_0105,qwen2.5-3b,done,0.007076771971252229,False,16,False,0.003653,False,2.0167061620668392e-07,1.2440003729352611e-06,
qmsum_0054,qwen2.5-3b,done,0.007170118768276139,False,1,False,0.005727,True,1.1827577282019774e-06,1.2440003729352611e-06,False
qmsum_0024,qwen2.5-3b,done,0.007213802449405194,False,7,False,0.007024,True,6.082913728278072e-07,1.2440003729352611e-06,False
narrativeqa_0070,qwen2.5-3b,done,0.0072730351830758745,False,11,True,0.004521,False,4.701205966739508e-07,1.2440003729352611e-06,
qmsum_0060,qwen2.5-3b,done,0.007302703780846463,False,8,False,0.00429,False,5.343478278518887e-06,1.2440003729352611e-06,
musique_0005,qwen2.5-3b,done,0.007381159439682961,False,3,False,0.006182,True,5.169862902221212e-07,1.2440003729352611e-06,False
qmsum_0046,qwen2.5-3b,done,0.007396545354276895,False,16,False,0.00338,False,2.099323666016062e-07,1.2440003729352611e-06,
qmsum_0101,qwen2.5-3b,done,0.007452592770277988,False,6,False,0.005159,False,6.590534553652105e-07,1.2440003729352611e-06,
qmsum_0096,qwen2.5-3b,done,0.007489177049137652,False,11,True,0.00478,False,5.455957534650224e-07,1.2440003729352611e-06,
musique_0013,qwen2.5-3b,done,0.00755250809192093,False,11,True,0.005671,False,5.578519335358578e-07,1.2440003729352611e-06,
musique_0016,qwen2.5-3b,done,0.007599004272681971,False,3,False,0.00712,True,1.569415871927049e-06,1.2440003729352611e-06,True
qmsum_0057,qwen2.5-3b,done,0.007617561950940977,False,11,True,0.006496,False,1.6036483430070803e-07,1.2440003729352611e-06,
narrativeqa_0038,qwen2.5-3b,done,0.007696985426758016,False,15,False,0.006788,False,1.0800840755109675e-06,1.2440003729352611e-06,
narrativeqa_0042,qwen2.5-3b,done,0.0077729739893514374,False,11,True,0.004049,False,7.745893526589498e-07,1.2440003729352611e-06,
qmsum_0067,qwen2.5-3b,done,0.007821114758068386,False,11,True,0.003824,False,6.398876735147496e-07,1.2440003729352611e-06,
qmsum_0058,qwen2.5-3b,done,0.007874897548130581,False,16,False,0.002097,False,1.6572543017900898e-06,1.2440003729352611e-06,
qmsum_0040,qwen2.5-3b,done,0.007927611621178606,False,11,True,0.00624,False,3.908949679498619e-07,1.2440003729352611e-06,
qmsum_0030,qwen2.5-3b,done,0.008165454806294293,False,11,True,0.006633,False,1.0112115944593825e-07,1.2440003729352611e-06,
qmsum_0082,qwen2.5-3b,done,0.008214310251853683,False,11,True,0.005703,False,6.506875251943711e-07,1.2440003729352611e-06,
musique_0046,qwen2.5-3b,done,0.008272063497199932,False,15,True,0.006842,False,3.98493483544371e-07,1.2440003729352611e-06,
narrativeqa_0056,qwen2.5-3b,done,0.008295486737607105,False,18,False,0.005469,False,2.944459765785723e-06,1.2440003729352611e-06,
narrativeqa_0046,qwen2.5-3b,done,0.008332345936009112,False,10,True,0.005802,False,2.541898140862031e-07,1.2440003729352611e-06,
narrativeqa_0065,qwen2.5-3b,done,0.008427015106592859,False,11,True,0.007244,False,1.561638214298e-06,1.2440003729352611e-06,
musique_0090,qwen2.5-3b,done,0.008483928570058197,False,13,True,0.007247,False,1.0724816092988476e-06,1.2440003729352611e-06,
musique_0104,qwen2.5-3b,done,0.00869560941461135,False,11,True,0.006596,False,4.3637911062432977e-07,1.2440003729352611e-06,
narrativeqa_0003,qwen2.5-3b,done,0.00877570491727619,False,11,True,0.00493,False,1.2830391824536491e-06,1.2440003729352611e-06,
narrativeqa_0085,qwen2.5-3b,done,0.008842614522048582,False,10,True,0.00684,False,7.228227332234383e-07,1.2440003729352611e-06,
qmsum_0043,qwen2.5-3b,done,0.009080094551970053,False,11,True,0.005594,False,9.907246294460492e-07,1.2440003729352611e-06,
qmsum_0032,qwen2.5-3b,done,0.009144248927865799,False,11,True,0.006854,False,1.0284935569870868e-06,1.2440003729352611e-06,
narrativeqa_0049,qwen2.5-3b,done,0.009298669728672222,False,11,True,0.007683,False,7.349844111104176e-08,1.2440003729352611e-06,
